"path","name","extension","size_bytes","category","score","title","heading","matched_keywords"
"C:\github\HugoLab\static\htm\130220_andersson-aahlin.htm","130220_andersson-aahlin.htm",".htm","17850","tournament","1","","","sm"
"C:\github\HugoLab\static\htm\2018_gostas_minnesturnering.pdf","2018_gostas_minnesturnering.pdf",".pdf","165471","by_extension:.pdf","0","","",""
"C:\github\HugoLab\static\htm\2024_varblixt.pdf","2024_varblixt.pdf",".pdf","137990","by_extension:.pdf","0","","",""
"C:\github\HugoLab\static\htm\20946061_arsavgift.pdf","20946061_arsavgift.pdf",".pdf","63016","by_extension:.pdf","0","","",""
"C:\github\HugoLab\static\htm\abergjeremic.htm","abergjeremic.htm",".htm","28785","tournament","2","","","sm;snabb"
"C:\github\HugoLab\static\htm\agrestkarlsson.htm","agrestkarlsson.htm",".htm","17874","tournament","1","","","sm"
"C:\github\HugoLab\static\htm\agrestuno.htm","agrestuno.htm",".htm","17874","tournament","1","","","sm"
"C:\github\HugoLab\static\htm\ahlinthomsen.htm","ahlinthomsen.htm",".htm","24394","tournament","1","","","sm"
"C:\github\HugoLab\static\htm\ahlinthomsen.pgn","ahlinthomsen.pgn",".pgn","2310","by_extension:.pgn","0","","",""
"C:\github\HugoLab\static\htm\aikioagrest.htm","aikioagrest.htm",".htm","21077","tournament","2","","","sm;dm"
"C:\github\HugoLab\static\htm\aikioagrest.pgn","aikioagrest.pgn",".pgn","1648","by_extension:.pgn","0","","",""
"C:\github\HugoLab\static\htm\aikiokyhle.htm","aikiokyhle.htm",".htm","21077","tournament","2","","","sm;km;parti"
"C:\github\HugoLab\static\htm\aikioroskvist.htm","aikioroskvist.htm",".htm","19438","tournament","2","","","sm;km"
"C:\github\HugoLab\static\htm\aikiostacho.htm","aikiostacho.htm",".htm","18952","tournament","2","","","sm;km;parti;spelare;problem"
"C:\github\HugoLab\static\htm\aikiostacho.pgn","aikiostacho.pgn",".pgn","1499","by_extension:.pgn","0","","",""
"C:\github\HugoLab\static\htm\akearne.htm","akearne.htm",".htm","17765","tournament","1","","","sm;parti"
"C:\github\HugoLab\static\htm\alekhincapablanca.htm","alekhincapablanca.htm",".htm","13142","tournament","1","","","sm"
"C:\github\HugoLab\static\htm\allmant_medlemsmote_HT2019.pdf","allmant_medlemsmote_HT2019.pdf",".pdf","336368","by_extension:.pdf","0","","",""
"C:\github\HugoLab\static\htm\allsvenska_lag.htm","allsvenska_lag.htm",".htm","746","tournament","1","","","allsvenska"
"C:\github\HugoLab\static\htm\anderssonahlin.htm","anderssonahlin.htm",".htm","18322","tournament","1","","","sm"
"C:\github\HugoLab\static\htm\anderssonahlin.pgn","anderssonahlin.pgn",".pgn","789","by_extension:.pgn","0","","",""
"C:\github\HugoLab\static\htm\anderssonericson.htm","anderssonericson.htm",".htm","18414","tournament","1","","","sm"
"C:\github\HugoLab\static\htm\anderssonericson.pgn","anderssonericson.pgn",".pgn","946","by_extension:.pgn","0","","",""
"C:\github\HugoLab\static\htm\anderssonring.htm","anderssonring.htm",".htm","19604","tournament","1","","","sm"
"C:\github\HugoLab\static\htm\anderssonzivic.htm","anderssonzivic.htm",".htm","19863","tournament","1","","","sm"
"C:\github\HugoLab\static\htm\andreassonlindeberg.htm","andreassonlindeberg.htm",".htm","20369","tournament","1","","","sm;parti"
