"path","name","link_count_total","link_count_local_htm","pgn_link_count","has_pgn_links","sample_pgn_links"
"C:\github\HugoLab\static\htm\index.html","index.html","1243","574","194","True","Berg-Welamsson.pgn;Cathignol.pgn;Fenoglio.pgn;LRDK.pgn;Larsen.pgn"
"C:\github\HugoLab\static\htm\SrsKM9.htm","SrsKM9.htm","354","0","0","False",""
"C:\github\HugoLab\static\htm\klubben.htm","klubben.htm","245","0","0","False",""
"C:\github\HugoLab\static\htm\abergjeremic.htm","abergjeremic.htm","213","0","0","False",""
"C:\github\HugoLab\static\htm\ericsonlevin.htm","ericsonlevin.htm","197","0","0","False",""
"C:\github\HugoLab\static\htm\perssonsilins.htm","perssonsilins.htm","195","0","0","False",""
"C:\github\HugoLab\static\htm\kjellsilin.htm","kjellsilin.htm","195","0","0","False",""
"C:\github\HugoLab\static\htm\perssonkyhle.htm","perssonkyhle.htm","194","0","0","False",""
"C:\github\HugoLab\static\htm\hedstromericson.htm","hedstromericson.htm","190","0","0","False",""
"C:\github\HugoLab\static\htm\perssonskur.htm","perssonskur.htm","185","0","0","False",""
"C:\github\HugoLab\static\htm\NM_Malmdin_Flodmark.htm","NM_Malmdin_Flodmark.htm","183","0","0","False",""
"C:\github\HugoLab\static\htm\ahlinthomsen.htm","ahlinthomsen.htm","177","0","0","False",""
"C:\github\HugoLab\static\htm\roskvistahlqvist.htm","roskvistahlqvist.htm","172","0","0","False",""
"C:\github\HugoLab\static\htm\rosahl.htm","rosahl.htm","172","0","0","False",""
"C:\github\HugoLab\static\htm\partier.htm","partier.htm","172","171","0","False",""
"C:\github\HugoLab\static\htm\unanderaberg.htm","unanderaberg.htm","171","0","0","False",""
"C:\github\HugoLab\static\htm\schackproblem.htm","schackproblem.htm","168","162","0","False",""
"C:\github\HugoLab\static\htm\perssoncederstrom.htm","perssoncederstrom.htm","168","0","0","False",""
"C:\github\HugoLab\static\htm\sahlinpersson.htm","sahlinpersson.htm","168","0","0","False",""
"C:\github\HugoLab\static\htm\razaviericson.htm","razaviericson.htm","167","0","0","False",""
"C:\github\HugoLab\static\htm\jeremicericson.htm","jeremicericson.htm","165","0","0","False",""
"C:\github\HugoLab\static\htm\schackstudier.htm","schackstudier.htm","162","162","0","False",""
"C:\github\HugoLab\static\htm\hyllengrenmarcos1.htm","hyllengrenmarcos1.htm","159","0","0","False",""
"C:\github\HugoLab\static\htm\cramlingjeremic.htm","cramlingjeremic.htm","158","0","0","False",""
"C:\github\HugoLab\static\htm\junttiberg.htm","junttiberg.htm","158","0","0","False",""
"C:\github\HugoLab\static\htm\junttiroskvist.htm","junttiroskvist.htm","154","0","0","False",""
"C:\github\HugoLab\static\htm\olssonericson.htm","olssonericson.htm","149","0","0","False",""
"C:\github\HugoLab\static\htm\ranbyahlin.htm","ranbyahlin.htm","148","0","0","False",""
"C:\github\HugoLab\static\htm\arkivet.htm","arkivet.htm","146","113","0","False",""
"C:\github\HugoLab\static\htm\ericsonkarlsson.htm","ericsonkarlsson.htm","145","0","0","False",""
"C:\github\HugoLab\static\htm\sulmadjeremic.htm","sulmadjeremic.htm","142","0","0","False",""
"C:\github\HugoLab\static\htm\roskvistjeremic.htm","roskvistjeremic.htm","137","0","0","False",""
"C:\github\HugoLab\static\htm\hallstedtpersson.htm","hallstedtpersson.htm","135","0","0","False",""
"C:\github\HugoLab\static\htm\stachowiczkarlsson.htm","stachowiczkarlsson.htm","133","0","0","False",""
"C:\github\HugoLab\static\htm\jeremiclevin.htm","jeremiclevin.htm","133","0","0","False",""
"C:\github\HugoLab\static\htm\hyllengrenericson.htm","hyllengrenericson.htm","131","0","0","False",""
"C:\github\HugoLab\static\htm\jeremiccederstrom.htm","jeremiccederstrom.htm","131","0","0","False",""
"C:\github\HugoLab\static\htm\fominapersson.htm","fominapersson.htm","130","0","0","False",""
"C:\github\HugoLab\static\htm\ziviclars.htm","ziviclars.htm","130","0","0","False",""
"C:\github\HugoLab\static\htm\horlingzivic.htm","horlingzivic.htm","130","0","0","False",""
"C:\github\HugoLab\static\htm\hultinlarsson.htm","hultinlarsson.htm","130","0","0","False",""
"C:\github\HugoLab\static\htm\miomartti.htm","miomartti.htm","130","0","0","False",""
"C:\github\HugoLab\static\htm\wedin_kyhle.htm","wedin_kyhle.htm","130","0","0","False",""
"C:\github\HugoLab\static\htm\jeremicsulmad.htm","jeremicsulmad.htm","130","0","0","False",""
"C:\github\HugoLab\static\htm\loahelge.htm","loahelge.htm","129","0","0","False",""
"C:\github\HugoLab\static\htm\perssonlarsson.htm","perssonlarsson.htm","127","0","0","False",""
"C:\github\HugoLab\static\htm\erikssonring.htm","erikssonring.htm","126","0","0","False",""
"C:\github\HugoLab\static\htm\rolandjouko.htm","rolandjouko.htm","124","0","0","False",""
"C:\github\HugoLab\static\htm\jeremicstrid.htm","jeremicstrid.htm","124","0","0","False",""
"C:\github\HugoLab\static\htm\ericsonroskvist.htm","ericsonroskvist.htm","124","0","0","False",""
"C:\github\HugoLab\static\htm\jeremicpersson.htm","jeremicpersson.htm","122","0","0","False",""
"C:\github\HugoLab\static\htm\perssonwahlund.htm","perssonwahlund.htm","122","0","0","False",""
"C:\github\HugoLab\static\htm\lundbergjeremic.htm","lundbergjeremic.htm","122","0","0","False",""
"C:\github\HugoLab\static\htm\perwahl.htm","perwahl.htm","122","0","0","False",""
"C:\github\HugoLab\static\htm\hallstedtwindahl_2.htm","hallstedtwindahl_2.htm","120","0","0","False",""
"C:\github\HugoLab\static\htm\enriquemiodrag.htm","enriquemiodrag.htm","120","0","0","False",""
"C:\github\HugoLab\static\htm\perssonfredholm.htm","perssonfredholm.htm","119","0","0","False",""
"C:\github\HugoLab\static\htm\miojuoko.htm","miojuoko.htm","115","0","0","False",""
"C:\github\HugoLab\static\htm\Flard_gronberg.htm","Flard_gronberg.htm","115","0","0","False",""
"C:\github\HugoLab\static\htm\landinagrest.htm","landinagrest.htm","114","0","0","False",""
"C:\github\HugoLab\static\htm\LoBerg.htm","LoBerg.htm","114","0","0","False",""
"C:\github\HugoLab\static\htm\berthelsenmio.htm","berthelsenmio.htm","113","0","0","False",""
"C:\github\HugoLab\static\htm\jaltsaterbergstrom.htm","jaltsaterbergstrom.htm","113","0","0","False",""
"C:\github\HugoLab\static\htm\persson_ranbyVT2019.htm","persson_ranbyVT2019.htm","113","0","0","False",""
"C:\github\HugoLab\static\htm\aikiokyhle.htm","aikiokyhle.htm","113","0","0","False",""
"C:\github\HugoLab\static\htm\samuelssonandersson.htm","samuelssonandersson.htm","112","0","0","False",""
"C:\github\HugoLab\static\htm\aikioagrest.htm","aikioagrest.htm","111","0","0","False",""
"C:\github\HugoLab\static\htm\razawijeremic.htm","razawijeremic.htm","111","0","0","False",""
"C:\github\HugoLab\static\htm\tahtikarlsson.htm","tahtikarlsson.htm","111","0","0","False",""
"C:\github\HugoLab\static\htm\tathikarlsson.htm","tathikarlsson.htm","111","0","0","False",""
"C:\github\HugoLab\static\htm\jeremicgunnarsson.htm","jeremicgunnarsson.htm","110","0","0","False",""
"C:\github\HugoLab\static\htm\erikssonagrest.htm","erikssonagrest.htm","110","0","0","False",""
"C:\github\HugoLab\static\htm\windahlhallstedt.htm","windahlhallstedt.htm","110","0","0","False",""
"C:\github\HugoLab\static\htm\pgnmall.htm","pgnmall.htm","109","0","0","False",""
"C:\github\HugoLab\static\htm\LidenSilins.htm","LidenSilins.htm","109","0","0","False",""
"C:\github\HugoLab\static\htm\borjemats.htm","borjemats.htm","109","0","0","False",""
"C:\github\HugoLab\static\htm\erikssonericson.htm","erikssonericson.htm","109","0","0","False",""
"C:\github\HugoLab\static\htm\silinspersson.htm","silinspersson.htm","109","0","0","False",""
"C:\github\HugoLab\static\htm\thomsenstrom.htm","thomsenstrom.htm","108","0","0","False",""
"C:\github\HugoLab\static\htm\thomsengorani.htm","thomsengorani.htm","107","0","0","False",""
"C:\github\HugoLab\static\htm\valterssonlansen.htm","valterssonlansen.htm","106","0","0","False",""
"C:\github\HugoLab\static\htm\einarssonjeremic.htm","einarssonjeremic.htm","104","0","0","False",""
"C:\github\HugoLab\static\htm\junttiaberg.htm","junttiaberg.htm","104","0","0","False",""
"C:\github\HugoLab\static\htm\junttiaberg_09.htm","junttiaberg_09.htm","104","0","0","False",""
"C:\github\HugoLab\static\htm\cousoaikio.htm","cousoaikio.htm","103","0","0","False",""
"C:\github\HugoLab\static\htm\andreassonlindeberg.htm","andreassonlindeberg.htm","103","0","0","False",""
"C:\github\HugoLab\static\htm\silinscederstrom.htm","silinscederstrom.htm","101","0","0","False",""
"C:\github\HugoLab\static\htm\ericsonlarsson.htm","ericsonlarsson.htm","100","0","0","False",""
"C:\github\HugoLab\static\htm\perssoneriksson.htm","perssoneriksson.htm","99","0","0","False",""
"C:\github\HugoLab\static\htm\erikssonpersson.htm","erikssonpersson.htm","99","0","0","False",""
"C:\github\HugoLab\static\htm\tabakoviclevin.htm","tabakoviclevin.htm","98","0","0","False",""
