    1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2
1     1 2 3 5 4 6 • 7 • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •   2527
2   1   3 2 4 5 7 • 6 • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •   2235
3   2 3   1 6 7 5 • • 4 • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •   2075
4   3 2 1   7 6 4 • 5 • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •   2045
5   5 4 6 7   1 2 3 • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •   2041
6   4 5 7 6 1   3 2 • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •   1988
7   6 7 5 4 2 3   1 • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •   1977
8   • • • • 3 2 1   4 5 6 7 • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •   1929
9   7 6 • 5 • • • 4   1 2 3 • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •   1895
0   • • 4 • • • • 5 1   3 2 6 • 7 • • • • • • • • • • • • • • • • • • • • • • • • • • •   1872
1   • • • • • • • 6 2 3   1 5 4 • 7 • • • • • • • • • • • • • • • • • • • • • • • • • •   1864
2   • • • • • • • 7 3 2 1   4 5 6 • • • • • • • • • • • • • • • • • • • • • • • • • • •   1857
3   • • • • • • • • • 6 5 4   1 2 3 7 • • • • • • • • • • • • • • • • • • • • • • • • •   1816
4   • • • • • • • • • • 4 5 1   3 2 6 7 • • • • • • • • • • • • • • • • • • • • • • • •   1814
5   • • • • • • • • • 7 • 6 2 3   1 5 4 • • • • • • • • • • • • • • • • • • • • • • • •   1808
6   • • • • • • • • • • 7 • 3 2 1   4 5 • • • 6 • • • • • • • • • • • • • • • • • • • •   1802
7   • • • • • • • • • • • • 7 6 5 4   1 2 3 • • • • • • • • • • • • • • • • • • • • • •   1796
8   • • • • • • • • • • • • • 7 4 5 1   3 2 6 • • • • • • • • • • • • • • • • • • • • •   1767
9   • • • • • • • • • • • • • • • • 2 3   1 4 5 6 • • 7 • • • • • • • • • • • • • • • •   1752
0   • • • • • • • • • • • • • • • • 3 2 1   5 7 4 6 • • • • • • • • • • • • • • • • • •   1730
1   • • • • • • • • • • • • • • • • • 6 4 5   1 2 7 • 3 • • • • • • • • • • • • • • • •   1707
2   • • • • • • • • • • • • • • • 6 • • 5 7 1   3 4 2 • • • • • • • • • • • • • • • • •   1700
3   • • • • • • • • • • • • • • • • • • 6 4 2 3   1 5 • 7 • • • • • • • • • • • • • • •   1694
4   • • • • • • • • • • • • • • • • • • • 6 7 4 1   3 2 5 • • • • • • • • • • • • • • •   1691
5   • • • • • • • • • • • • • • • • • • • • • 2 5 3   1 6 4 7 • • • • • • • • • • • • •   1689
6   • • • • • • • • • • • • • • • • • • 7 • 3 • • 2 1   4 5 6 • • • • • • • • • • • • •   1684
7   • • • • • • • • • • • • • • • • • • • • • • 7 5 6 4   1 2 3 • • • • • • • • • • • •   1623
8   • • • • • • • • • • • • • • • • • • • • • • • • 4 5 1   3 2 6 7 • • • • • • • • • •   1574
9   • • • • • • • • • • • • • • • • • • • • • • • • 7 6 2 3   1 5 4 • • • • • • • • • •   1570
0   • • • • • • • • • • • • • • • • • • • • • • • • • • 3 2 1   4 5 6 7 • • • • • • • •   1509
1   • • • • • • • • • • • • • • • • • • • • • • • • • • • 6 5 4   1 2 3 7 • • • • • • •   1442
2   • • • • • • • • • • • • • • • • • • • • • • • • • • • 7 4 5 1   3 2 6 • • • • • • •   1414
3   • • • • • • • • • • • • • • • • • • • • • • • • • • • • • 6 2 3   1 5 • • • • 4 • 7   1404
4   • • • • • • • • • • • • • • • • • • • • • • • • • • • • • 7 3 2 1   4 • • • 5 • 6 •   1397
5   • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • 7 6 5 4   1 2 3 • • • •   1351
6   • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • 1   3 2 4 5 7 6   1345
7   • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • 2 3   1 6 7 5 4   1298
8   • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • 3 2 1   7 6 4 5   1272
9   • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • 5 • 4 6 7   1 2 3   1257
0   • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • 4 • • 5 7 6 1   3 2   1239
1   • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • 6 • 7 5 4 2 3   1   1119
2   • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • 7 • • 6 4 5 3 2 1     1108
